player	season	blk_per_game
Tim Duncan	2001 - 2002	4.333333
Myles Turner	2019 - 2020	4.000000
Volodymyr Koniev	2018 - 2019	4.000000
Justin Williams	2015 - 2016	3.919355
Hamady Ndiaye	2012 - 2013	3.903226
Mouhamadou N'doye	2014 - 2015	3.800000
Ekpe Udoh	2019 - 2020	3.750000
Alonzo Mourning	1999 - 2000	3.721519
Hassan Whiteside	2015 - 2016	3.684932
Serge Ibaka	2011 - 2012	3.651515
Theo Ratliff	2003 - 2004	3.611765
Robert Upshaw	2016 - 2017	3.611111
Marcus Camby	2007 - 2008	3.607595
Anthony Stover	2015 - 2016	3.512821
Dwight Howard	2009 - 2010	3.500000
Ben Wallace	2001 - 2002	3.462500
Andre Roberson	2016 - 2017	3.400000
Dwight Howard	2007 - 2008	3.400000
Grygorgii Khizhniak	2001 - 2002	3.333333
Alonzo Mourning	1999 - 2000	3.300000
Marcus Camby	2006 - 2007	3.300000
Tim Duncan	2002 - 2003	3.291667
Zhou Qi	2014 - 2015	3.290323
Myles Turner	2015 - 2016	3.285714
Dikembe Mutombo	1999 - 2000	3.280488
Theo Ratliff	2002 - 2003	3.234568
Marcus Camby	2006 - 2007	3.200000
Marcus Camby	2004 - 2005	3.200000
Zhou Qi	2015 - 2016	3.190476
Grygorgii Khizhniak	2000 - 2001	3.166667
Ben Wallace	2002 - 2003	3.150685
JaVale McGee	2011 - 2012	3.142857
Sam Muldrow	2012 - 2013	3.131579
Dikembe Mutombo	2000 - 2001	3.130435
James Tyler	2012 - 2013	3.107143
Sean Williams	2013 - 2014	3.100000
Tim Duncan	2006 - 2007	3.100000
Roy Hibbert	2011 - 2012	3.090909
Andrew Bynum	2011 - 2012	3.083333
Zach Robbins	2015 - 2016	3.062500
Austin Williams	2018 - 2019	3.058824
Serge Ibaka	2010 - 2011	3.058824
Ben Wallace	2002 - 2003	3.058824
Ben Wallace	2003 - 2004	3.037037
Shaquille O'Neal	1999 - 2000	3.025316
Serge Ibaka	2012 - 2013	3.025000
Kiel Turpin	2015 - 2016	3.000000
William Lee	2018 - 2019	3.000000
Hasan Rizvic	2009 - 2010	3.000000
Shawn Bradley	2000 - 2001	3.000000
Justin Williams	2016 - 2017	3.000000
Anthony Davis	2014 - 2015	3.000000
Marcus Camby	2007 - 2008	3.000000
Theo Ratliff	1999 - 2000	3.000000
Serge Ibaka	2012 - 2013	3.000000
Zach Atkinson	2012 - 2013	3.000000
Billy McNutt	2013 - 2014	3.000000
Brook Lopez	2012 - 2013	3.000000
Phillip Rankin	2019 - 2020	3.000000
Jermaine O'Neal	2002 - 2003	3.000000
Derrick Coleman	1999 - 2000	3.000000
Samaki Walker	1999 - 2000	3.000000
David Robinson	1999 - 2000	3.000000
Marcus Camby	2004 - 2005	2.969697
Shawn James	2012 - 2013	2.968750
Serge Ibaka	2011 - 2012	2.950000
Anthony Davis	2014 - 2015	2.941176
Tim Duncan	2002 - 2003	2.925926
Hassan Whiteside	2019 - 2020	2.925373
Dwight Howard	2008 - 2009	2.924051
Josh Smith	2006 - 2007	2.875000
Norvel Pelle	2015 - 2016	2.875000
Max Zhang	2012 - 2013	2.870968
Brandon Gilbeck	2019 - 2020	2.863636
Josh Smith	2007 - 2008	2.857143
Austin Steed	2013 - 2014	2.857143
Tyrus Thomas	2008 - 2009	2.857143
Filip Kraljevic	2012 - 2013	2.846154
Dwight Howard	2013 - 2014	2.833333
Shaquille O'Neal	2002 - 2003	2.833333
Larry Sanders	2012 - 2013	2.830986
Jermaine O'Neal	2000 - 2001	2.814815
Darian Townes	2017 - 2018	2.812500
Josh Smith	2007 - 2008	2.802469
Hassan Whiteside	2015 - 2016	2.800000
Marcus Camby	2005 - 2006	2.800000
Joakim Kjellbom	2014 - 2015	2.794872
Dwight Howard	2009 - 2010	2.780488
Shawn Bradley	2000 - 2001	2.780488
Shaquille O'Neal	2003 - 2004	2.772727
Jonathan Jeanne	2019 - 2020	2.761905
Shaquille O'Neal	2000 - 2001	2.756757
Andrei Kirilenko	2003 - 2004	2.756410
Raef LaFrentz	2001 - 2002	2.750000
Raef LaFrentz	2001 - 2002	2.730769
Akin Akingbala	2007 - 2008	2.727273
Priest Lauderdale	2003 - 2004	2.727273
Yao Ming	2004 - 2005	2.714286
Andre Riddick	2004 - 2005	2.714286
Dikembe Mutombo	2000 - 2001	2.706667
