player	season	overall_acc
Tommi Huolila	2016 - 2017	1.000000
Dmytro Gliebov	2012 - 2013	1.000000
Itay Segev	2015 - 2016	1.000000
Tomas Pomikalek	2015 - 2016	0.900000
Denis Marconato	2010 - 2011	0.894737
Giannis Sidiroilias	2019 - 2020	0.857143
Samuel Taiwo	2019 - 2020	0.857143
Joel Anthony	2008 - 2009	0.857143
Dante Cunningham	2014 - 2015	0.857143
Acie Law	2007 - 2008	0.833333
Peter Lorant	2015 - 2016	0.823529
Vitalis Chikoko	2016 - 2017	0.821429
Muhamed Pasalic	2016 - 2017	0.812500
Primoz Brezec	2010 - 2011	0.812500
Jake Voskuhl	2002 - 2003	0.800000
Loic Schwartz	2016 - 2017	0.800000
Kohei Takahashi	2019 - 2020	0.800000
Marc Marius Judith	2013 - 2014	0.800000
Emanuel Matias	2019 - 2020	0.800000
Janis Berzins	2018 - 2019	0.800000
Rasko Katic	2018 - 2019	0.800000
Jeff Withey	2019 - 2020	0.792079
Corliss Williamson	1999 - 2000	0.785714
Jozsef Szendrei	2004 - 2005	0.785714
Giorgi Shermadini	2018 - 2019	0.780749
Riccardo Cervi	2013 - 2014	0.779310
Carlos Cabezas	2012 - 2013	0.777778
Tyler Zeller	2017 - 2018	0.777778
Chris Andersen	2012 - 2013	0.773585
Wojciech Watroba	2019 - 2020	0.772727
Jure Lalic	2012 - 2013	0.769231
Aliaksei Lashkevich	2015 - 2016	0.767857
Chris Douglas-Roberts	2013 - 2014	0.766667
Tamas Harazin	2015 - 2016	0.766423
Sergio Escobar	2019 - 2020	0.764706
D'or Fischer	2014 - 2015	0.762376
Vladimir Veremeenko	2013 - 2014	0.761194
Elmedin Kikanovic	2007 - 2008	0.760870
Darko Planinic	2011 - 2012	0.758242
Jonas Valanciunas	2010 - 2011	0.758242
Tamas Harazin	2011 - 2012	0.757732
Simas Galdikas	2013 - 2014	0.757576
Denis Marconato	2002 - 2003	0.756906
Tamas Harazin	2014 - 2015	0.756345
Nikola Vujovic	2019 - 2020	0.756303
Gregor Hrovat	2016 - 2017	0.754717
Aaron Anderson	2015 - 2016	0.754717
Marko Banic	2003 - 2004	0.754098
Martin Geben	2019 - 2020	0.751553
Lele Oliveira	2019 - 2020	0.750000
Eric Zenners	2019 - 2020	0.750000
Vladimir Ivlev	2019 - 2020	0.750000
Vincent Kesteloot	2017 - 2018	0.750000
Rudy Gobert	2012 - 2013	0.750000
Brandan Wright	2013 - 2014	0.750000
Antanas Kavaliauskas	2014 - 2015	0.747934
Seth Tuttle	2016 - 2017	0.747253
Darius Lavrinovic	2012 - 2013	0.746479
Romain Duport	2013 - 2014	0.745763
Giorgi Shermadini	2010 - 2011	0.745283
Trevor Mbakwe	2017 - 2018	0.744681
Radoslav Pekovic	2016 - 2017	0.744444
Adam Mirkovic	2019 - 2020	0.741573
Ian Mahinmi	2011 - 2012	0.740741
Tamas Harazin	2017 - 2018	0.740741
Igor Mijajlovic	2012 - 2013	0.740000
Robin Lopez	2014 - 2015	0.739130
Ante Delas	2015 - 2016	0.739130
Blaz Mahkovic	2018 - 2019	0.739130
Anthony Raffa	2017 - 2018	0.739130
D'or Fischer	2012 - 2013	0.739130
Edy Tavares	2018 - 2019	0.738693
Mickell Gladness	2017 - 2018	0.738462
Jake Wiley	2019 - 2020	0.737589
Ovidijus Galdikas	2014 - 2015	0.736111
Florent Pietrus	2006 - 2007	0.736000
D'or Fischer	2008 - 2009	0.735849
Ali Karadeniz	2009 - 2010	0.735849
Peter Olisemeka	2018 - 2019	0.735537
Kaleb Tarczewski	2017 - 2018	0.735294
Chris Young	2012 - 2013	0.735075
Nikola Djuric	2019 - 2020	0.734694
Michael Fusek	2018 - 2019	0.734440
Jure Lalic	2013 - 2014	0.734177
JaVonte Reddick	2017 - 2018	0.733333
Theo Ratliff	2008 - 2009	0.733333
Emanuel Cate	2019 - 2020	0.732759
Ergin Grosha	2018 - 2019	0.731707
Trevor Mbakwe	2014 - 2015	0.730952
Trevor Mbakwe	2014 - 2015	0.730952
Edy Tavares	2018 - 2019	0.730769
Giorgi Shermadini	2011 - 2012	0.730337
Tamas Harazin	2012 - 2013	0.730263
Marijonas Petravicius	2007 - 2008	0.730000
Smiljan Pavic	2012 - 2013	0.729927
Lati Mu	2011 - 2012	0.729927
JaVale McGee	2016 - 2017	0.729730
Uros Lukovic	2018 - 2019	0.729412
Corey Walden	2016 - 2017	0.729167
Zan Tabak	2003 - 2004	0.728972
