player	season	stl_per_game
Joe Spinks	2003 - 2004	4.300000
Kevin Rice	2004 - 2005	4.200000
Joe Spinks	2002 - 2003	4.100000
Antonio Bivins	2019 - 2020	4.000000
Eric Gilchrese	2016 - 2017	3.962963
Brian Starr	2019 - 2020	3.950000
Nate Green	2003 - 2004	3.870968
Jerry McCullough	2003 - 2004	3.769231
Aliaksandr Kudrautsau	2014 - 2015	3.714286
Jameil Rich	2000 - 2001	3.700000
Ivica Maric	2000 - 2001	3.700000
Deonta Stocks	2017 - 2018	3.592593
Marques Green	2007 - 2008	3.575000
Antonio Bivins	2016 - 2017	3.571429
Adam Blazek	2017 - 2018	3.560976
Baron Davis	2001 - 2002	3.555556
Phillip Miller	2015 - 2016	3.500000
Eric Gilchrese	2019 - 2020	3.500000
Parker Jackson-Cartwright	2019 - 2020	3.500000
Stian Mjoes	2018 - 2019	3.468750
Alvin Sims	2003 - 2004	3.458333
David Hawkins	2005 - 2006	3.428571
Bojan Popovic	2004 - 2005	3.400000
Joe Burton	2014 - 2015	3.393939
Fred House	2003 - 2004	3.384615
Corin Henry	2011 - 2012	3.378378
Tim Quarterman	2018 - 2019	3.333333
Anthony Hilliard	2015 - 2016	3.333333
Justin Gray	2015 - 2016	3.333333
Aaron Rountree	2016 - 2017	3.325581
Marques Green	2009 - 2010	3.321429
Brian Starr	2018 - 2019	3.314286
Jamaal Franklin	2016 - 2017	3.305556
Isaiah Johnson	2019 - 2020	3.285714
Shaun Stonerook	2008 - 2009	3.275000
Zaki Ise Mohamed	2015 - 2016	3.260870
Aubrey Coleman	2011 - 2012	3.250000
Xuefeng Hu	2015 - 2016	3.235294
Christopher Jones	2014 - 2015	3.233333
Daniel Farabello	2003 - 2004	3.230769
Larry Blair	2012 - 2013	3.218750
Nikola Gajic	2019 - 2020	3.200000
Ricky Rubio	2006 - 2007	3.187500
Dez Wells	2019 - 2020	3.181818
Jibril Hodges	2013 - 2014	3.166667
Malique Trent	2018 - 2019	3.150000
Miles Jackson-Cartwright	2019 - 2020	3.150000
Miroslav Petkovic	2011 - 2012	3.148148
Timofey Karpuk	2019 - 2020	3.142857
Marvelle Harris	2018 - 2019	3.142857
Anthony Nelson	2012 - 2013	3.142857
Corey Jefferson	2011 - 2012	3.111111
Winsome Frazier	2013 - 2014	3.105263
Lester Hudson	2014 - 2015	3.100000
Ibrahim Jaaber	2009 - 2010	3.096774
Hani Issalhi	2016 - 2017	3.090909
Derek Jackson	2018 - 2019	3.083333
Rait-Riivo Laane	2019 - 2020	3.080000
Riccardo Pittis	2000 - 2001	3.071429
Jeff Trepagnier	2005 - 2006	3.050000
Geron Johnson	2015 - 2016	3.047619
Worthy de Jong	2017 - 2018	3.046512
Reynaldo Garcia	2019 - 2020	3.034483
Darius Theus	2013 - 2014	3.026316
Sun Minghui	2019 - 2020	3.023810
Marko Tomas	2018 - 2019	3.000000
Torey Thomas	2016 - 2017	3.000000
Skyler Bowlin	2012 - 2013	3.000000
Omar El Ayoubi	2019 - 2020	3.000000
Marko Lovric	2013 - 2014	3.000000
Walter Hodge	2019 - 2020	3.000000
Jerry McCullough	2003 - 2004	3.000000
Mire Chatman	2003 - 2004	3.000000
Aaron Harrison	2015 - 2016	3.000000
Dikembe Dixson	2018 - 2019	3.000000
Mire Chatman	2008 - 2009	3.000000
Kyle Fogg	2019 - 2020	3.000000
William Lee	2018 - 2019	3.000000
David Hawkins	2005 - 2006	3.000000
John Linehan	2009 - 2010	3.000000
Jason Kidd	2011 - 2012	3.000000
Kevin Braswell	2011 - 2012	3.000000
Gabe Bealer	2018 - 2019	3.000000
Everage Richardson	2014 - 2015	3.000000
Henrik Sirko	2016 - 2017	3.000000
Fred House	2002 - 2003	3.000000
Carrington Love	2017 - 2018	2.976744
Tariq Kirksay	2005 - 2006	2.967742
John Linehan	2010 - 2011	2.967742
Andre Collins	2008 - 2009	2.966667
Hugo Ariel Sconochini	2003 - 2004	2.965517
E.J. Rowland	2009 - 2010	2.964286
Kevin Hardy	2019 - 2020	2.958333
Dukan Dukanovic	2018 - 2019	2.941176
Derek Wright	2012 - 2013	2.937500
Genniadiy Zakhar	2013 - 2014	2.925000
Jamelle Barrett	2012 - 2013	2.916667
Andre Riddick	2005 - 2006	2.916667
Brandon Lockhart	2013 - 2014	2.914286
Brandon Brown	2005 - 2006	2.911765
