sample_id	species	petal_length	petal_width	sepal_length	sepal_width
g4JZlAtiN4mBGyE	versicolor	4.589242619079317	1.306969295136263	5.844006342161014	3.341825347448392
BwWealRi00L4RH1	versicolor	4.836182703586678	1.3842440492091577	5.919572208413941	2.624172712278773
ZdyiDoTAArjRj3X	virginica	5.510279696068056	1.7869673007778917	6.081145975981138	3.040232239867617
0NqN8AaLZ8jelu^	setosa	1.4346067378811254	0.4196944434206537	4.036309231149397	3.5274496640127437
8nqRlCsXKJjHafD	versicolor	3.950310285471313	1.22427456391351	6.885231600449835	3.6319723709265928
otVBvvcynjp7UzN	setosa	1.506728799518841	0.3259624839249401	5.401327099661363	3.7205744369581897
fWIrmBqHQtz8xsF	virginica	5.604368223670195	2.1572429944021607	6.456808705930319	2.805747126274423
ARwpVhHYWHt9wfY	setosa	1.6140606128190988	0.1991426345765652	4.903285527245457	3.1454439581475877
F5F0rlPyu#7r6qZ	setosa	1.7028967479124455	0.0956860893237475	5.192555667123526	3.526238205764478
yi19vtGTuYKj4eZ	versicolor	4.268391936796625	1.274063641622041	6.8221974100518	3.141829990953312
YOUAeEtFDmkZ^Fj	virginica	5.014562463391163	1.963292351307343	6.246692474611914	2.53229212802269
mJXjeWxnNsSFDrT	virginica	5.341064322499436	2.041667334778604	5.103174802079782	3.303154364186013
6LRAdYzEePbHx.v	setosa	1.3252468615669954	0.3950941626302758	5.09246518462439	3.706572558492128
VlZdQIneAs6HWnK	setosa	1.572765698554209	0.1243418843849728	4.9845324166136855	3.473013940860668
7eMPKj06G5OvZMj	virginica	5.44638652680034	1.9122448052058263	6.996548195048431	3.022570147257491
lsASAgtVjFRU1Qx	virginica	5.016659462654536	1.684218709632148	6.930098792091824	2.9864170522176336
vqSnrKjDlQDgjJ5	versicolor	3.320587066159768	1.3863330209350226	5.083039714536055	2.979571768324919
kyKhRLVcS0rCv!P	versicolor	4.524713445359916	1.320984525869327	6.096254103586857	2.683841315888331
VusNKl:RCT@OGn7	versicolor	4.472724022888777	0.9000112567981279	5.926105254527613	2.562539987887356
URnphXM&tofspVk	setosa	2.0518378398162804	0.4381367127211156	4.755795541770151	3.493873721127348
pNDDcwiseh3IIaO	setosa	1.4650578408018633	0.3029596567888669	4.793554013422955	3.1684491003773414
BtUCKOq7JvnPlOs	virginica	5.042649446534339	1.9549163000101533	5.850026898696892	3.639592669673432
RmyJiI6DvoSRs0h	setosa	1.6747449354137511	0.411757995528678	4.679420300450888	3.219740620306674
RCBCwkJWUHyVwqV	versicolor	3.702689984126751	1.4224742121603509	5.968878750155664	2.8161253155003547
P6vSkw5eLzuitjC	virginica	5.307303511993814	1.7827277961611565	6.753319625011917	2.6561883487185365
ZrvCi^tjWUU4bEY	virginica	6.791104532264694	2.371836925902504	6.3824880460510585	3.248151106787976
PQtAlWI8lvfKwjg	versicolor	4.537703094358358	1.4150216069657962	6.191169735874207	2.8358490549987696
CmPNAjD$OJz8xtz	versicolor	4.345018907386721	1.6324995290508904	5.723189406088856	2.632849375915199
dv?P3qdIEdTsXG0	versicolor	4.617983468399989	1.0880820581054975	5.993300879633807	2.589789629418798
bRJfblUTBih4vXZ	virginica	5.699914933347333	2.0110195969662934	7.042213770736246	2.808180863608765
NQQOaLqpblOQuud	versicolor	4.524105844912171	1.3157726014302913	5.883319145093092	2.654912837587898
Kare66K2FihEV93	versicolor	5.391703187383987	1.303532628213352	5.779108183339693	2.7056186771317283
KJyMLpvdNBdmLTR	setosa	1.7137349504193928	0.2136453034260036	4.820044306265687	3.7711760467990807
.YMSQuwaWaPchGH	setosa	1.519535031215457	0.122095820374523	4.43246662643139	3.1953794207881527
uCCSdxHpT@4KB&D	virginica	6.352339000404332	2.3468989022367586	5.413269349747037	3.1064504614769324
